QueryID,Number,KnessetNum,Name,TypeID,TypeDesc,StatusID,PersonID,GovMinistryID,SubmitDate,ReplyMinisterDate,LastUpdatedDate
2229193,3087.0,25,פתיחת קבר-רחל לציבור בשעות 22:30-24:30 ,48,רגילה,6,30672,1361,2025-03-26T13:15:11.97,,2025-03-26T13:16:37.773
2229194,3061.0,25,הרחבת והסדרת מקומות חניה בקבר שמואל הנביא,48,רגילה,9,30672,1361,2025-03-24T09:22:44.706,2025-05-18T00:00:00,2025-05-18T14:28:53.477
2229195,3062.0,25,ניקוי המרחב הציבורי מהפרשות סוסים,48,רגילה,6,30672,1361,2025-03-24T10:35:07.038,,2025-03-24T10:37:51.043
2229196,3053.0,25,מחסור במשרתי מילואים,48,רגילה,6,30777,1178,2025-03-23T14:53:40.601,,2025-03-23T14:56:10.83
2229203,3063.0,25,חשש לקידום קציני משטרה בכירים למרות כישלון בבדיקות תעסוקתיות,48,רגילה,6,30686,1361,2025-03-24T10:39:35.214,,2025-03-24T10:50:42.84
2229204,3064.0,25,רצידיביזם של עברייני מין שנשלחו למאסר,48,רגילה,6,30686,1361,2025-03-24T12:41:27.584,,2025-03-24T12:55:35.41
2229205,3065.0,25,ירידה חדה במספר עברייני המין המשוחררים שנתפסו בביצוע עבירות מין,48,רגילה,6,30686,1361,2025-03-24T12:55:52.148,,2025-03-24T12:57:23.71
2229206,3066.0,25,הימנעות הרשות לאכיפה במקרקעין מאכיפת צווי הריסה נגד מבנים מסכני חיים בבני ברק,48,רגילה,6,30686,1361,2025-03-24T12:57:42.274,,2025-03-24T12:59:35.377
2229207,3067.0,25,השתלטות ארגוני פשיעה על תחום פינוי האשפה ברשויות מקומיות בחברה הערבית,48,רגילה,6,30686,1361,2025-03-24T12:59:46.328,,2025-03-24T13:01:11.767
2229252,3054.0,25,  מימוש תקציב החלטת ממשלה 550 לקידום הספורט בחברה הערבית,48,רגילה,9,30758,589,2025-03-23T15:02:44.952,2025-04-07T00:00:00,2025-04-07T14:34:39.837
2229269,3058.0,25,סכנת בטיחות חמורה בכניסה לכפר הבלתי מוכר זובידאת-משד – צורך דחוף לפתרון תחבורתי,48,רגילה,6,30843,686,2025-03-23T15:23:55.93,,2025-03-23T15:25:48.34
